X,Y,Z
0.00000000,0.00000000,0.00000000
0.600000024,0.00000000,0.00000000
1.20000005,0.00000000,0.00000000
1.80000007,0.00000000,0.00000000
2.40000010,0.00000000,0.00000000
3.00000000,0.00000000,0.00000000
3.59999990,0.400000095,8.00000429E-02
4.19999981,0.799999952,0.319999903
4.80000019,1.20000029,0.720000267
5.40000010,1.60000014,1.28000021
6.00000000,2.00000000,2.00000024
6.59999990,2.00000000,2.00000024
7.19999981,2.00000000,2.00000024
7.80000019,2.00000000,2.00000024
8.39999962,2.00000000,1.00000012
9.00000000,2.00000000,1.99999976
0.00000000,0.800000012,0.319999993
0.600000024,0.800000012,3.98740602
1.20000005,0.800000012,6.98178101
1.80000007,0.800000012,8.82938290
2.40000010,0.800000012,9.38346958
3.00000000,0.800000012,8.12621307
3.59999990,1.11999989,7.86971092
4.19999981,1.43999982,7.14758778
4.80000019,1.75999999,6.49125385
5.40000010,2.07999992,6.09351587
6.00000000,2.40000010,6.74387503
6.59999990,2.40000010,5.93029070
7.19999981,2.40000010,5.59174109
7.80000019,2.40000010,5.12124395
8.39999962,2.40000010,3.82153034
9.00000000,2.40000010,2.88000011
0.00000000,1.60000002,1.27999997
0.600000024,1.60000002,5.85092926
1.20000005,1.60000002,9.97088528
1.80000007,1.60000002,12.4395733
2.40000010,1.60000002,13.4257975
3.00000000,1.60000002,13.0303087
3.59999990,1.83999991,12.5795898
4.19999981,2.07999992,11.6233444
4.80000019,2.32000017,10.5996113
5.40000010,2.55999994,9.87762737
6.00000000,2.79999995,9.78188515
6.59999990,2.79999995,9.04633427
7.19999981,2.79999995,8.52617931
7.80000019,2.79999995,7.69967508
8.39999962,2.79999995,6.29288721
9.00000000,2.79999995,3.92000008
0.00000000,2.40000010,2.88000011
0.600000024,2.40000010,7.09402084
1.20000005,2.40000010,11.5190001
1.80000007,2.40000010,14.0498104
2.40000010,2.40000010,15.1967306
3.00000000,2.40000010,15.3350544
3.59999990,2.55999994,14.7015810
4.19999981,2.72000003,13.7351894
4.80000019,2.88000011,12.7065783
5.40000010,3.03999996,11.8349380
6.00000000,3.20000005,11.2473221
6.59999990,3.20000005,10.7988396
7.19999981,3.20000005,10.3546066
7.80000019,3.20000005,9.39658833
8.39999962,3.20000005,7.75440216
9.00000000,3.20000005,5.11999989
0.00000000,3.20000005,5.11999989
0.600000024,3.20000005,6.51218605
1.20000005,3.20000005,10.1255541
1.80000007,3.20000005,11.7847357
2.40000010,3.20000005,12.5429688
3.00000000,3.20000005,12.8238974
3.59999990,3.27999997,12.4333792
4.19999981,3.36000013,11.9042730
4.80000019,3.44000006,11.3255615
5.40000010,3.52000022,10.7890444
6.00000000,3.59999990,10.3045301
6.59999990,3.59999990,10.1246634
7.19999981,3.59999990,9.85731220
7.80000019,3.59999990,9.43137741
8.39999962,3.59999990,6.37165689
9.00000000,3.59999990,6.48000002
0.00000000,4.00000000,7.99999905
0.600000024,4.00000000,4.00000048
1.20000005,4.00000000,8.00000095
1.80000007,4.00000000,8.00000095
2.40000010,4.00000000,8.00000095
3.00000000,4.00000000,8.00000095
3.59999990,4.00000000,8.00000095
4.19999981,4.00000000,8.00000095
4.80000019,4.00000000,8.00000095
5.40000010,4.00000000,8.00000095
6.00000000,4.00000000,8.00000095
6.59999990,4.00000000,8.00000095
7.19999981,4.00000000,8.00000095
7.80000019,4.00000000,8.00000095
8.39999962,4.00000000,4.00000048
9.00000000,4.00000000,7.99999905
