COMPUTED FEM SOLUTION:
phi[0] = -4.836439
phi[1] = -4.806447
phi[2] = -4.776470
phi[3] = -4.746507
phi[4] = -4.716560
phi[5] = -4.686626
phi[6] = -4.656708
phi[7] = -4.626806
phi[8] = -4.596918
phi[9] = -4.567046
phi[10] = -4.537189
phi[11] = -4.507348
phi[12] = -4.477522
phi[13] = -4.447713
phi[14] = -4.417919
phi[15] = -4.388143
phi[16] = -4.358382
phi[17] = -4.328638
phi[18] = -4.298911
phi[19] = -4.269202
phi[20] = -4.239510
phi[21] = -4.209836
phi[22] = -4.180180
phi[23] = -4.150543
phi[24] = -4.120925
phi[25] = -4.091326
phi[26] = -4.061747
phi[27] = -4.032188
phi[28] = -4.002649
phi[29] = -3.973132
phi[30] = -3.943637
phi[31] = -3.914163
phi[32] = -3.884712
phi[33] = -3.855285
phi[34] = -3.825882
phi[35] = -3.796503
phi[36] = -3.767149
phi[37] = -3.737822
phi[38] = -3.708521
phi[39] = -3.679248
phi[40] = -3.650003
phi[41] = -3.620788
phi[42] = -3.591602
phi[43] = -3.562447
phi[44] = -3.533324
phi[45] = -3.504234
phi[46] = -3.475179
phi[47] = -3.446158
phi[48] = -3.417174
phi[49] = -3.388227
phi[50] = -3.359319
phi[51] = -3.330451
phi[52] = -3.301625
phi[53] = -3.272842
phi[54] = -3.244103
phi[55] = -3.215410
phi[56] = -3.186766
phi[57] = -3.158171
phi[58] = -3.129627
phi[59] = -3.101137
phi[60] = -3.072703
phi[61] = -3.044326
phi[62] = -3.016010
phi[63] = -2.987756
phi[64] = -2.959567
phi[65] = -2.931446
phi[66] = -2.903396
phi[67] = -2.875419
phi[68] = -2.847520
phi[69] = -2.819701
phi[70] = -2.791966
phi[71] = -2.764320
phi[72] = -2.736765
phi[73] = -2.709307
phi[74] = -2.681951
phi[75] = -2.654701
phi[76] = -2.627564
phi[77] = -2.600545
phi[78] = -2.573653
phi[79] = -2.546893
phi[80] = -2.520273
phi[81] = -2.493801
phi[82] = -2.467487
phi[83] = -2.441339
phi[84] = -2.415370
phi[85] = -2.389593
phi[86] = -2.364026
phi[87] = -2.338680
phi[88] = -2.313574
phi[89] = -2.288732
phi[90] = -2.264180
phi[91] = -2.239944
phi[92] = -2.216064
phi[93] = -2.192585
phi[94] = -2.169564
phi[95] = -2.147080
phi[96] = -2.125246
phi[97] = -2.104237
phi[98] = -2.084363
phi[99] = -2.066272
phi[100] = -2.051564
phi[101] = -2.034992
phi[102] = -2.017197
phi[103] = -1.998290
phi[104] = -1.978487
phi[105] = -1.957948
phi[106] = -1.936787
phi[107] = -1.915084
phi[108] = -1.892897
phi[109] = -1.870273
phi[110] = -1.847247
phi[111] = -1.823849
phi[112] = -1.800102
phi[113] = -1.776026
phi[114] = -1.751638
phi[115] = -1.726952
phi[116] = -1.701980
phi[117] = -1.676734
phi[118] = -1.651221
phi[119] = -1.625452
phi[120] = -1.599432
phi[121] = -1.573168
phi[122] = -1.546666
phi[123] = -1.519931
phi[124] = -1.492966
phi[125] = -1.465777
phi[126] = -1.438367
phi[127] = -1.410738
phi[128] = -1.382893
phi[129] = -1.354835
phi[130] = -1.326566
phi[131] = -1.298087
phi[132] = -1.269400
phi[133] = -1.240506
phi[134] = -1.211407
phi[135] = -1.182102
phi[136] = -1.152593
phi[137] = -1.122880
phi[138] = -1.092963
phi[139] = -1.062842
phi[140] = -1.032518
phi[141] = -1.001989
phi[142] = -0.971255
phi[143] = -0.940315
phi[144] = -0.909169
phi[145] = -0.877816
phi[146] = -0.846254
phi[147] = -0.814482
phi[148] = -0.782498
phi[149] = -0.750301
phi[150] = -0.717890
phi[151] = -0.685261
phi[152] = -0.652413
phi[153] = -0.619343
phi[154] = -0.586048
phi[155] = -0.552527
phi[156] = -0.518775
phi[157] = -0.484790
phi[158] = -0.450567
phi[159] = -0.416104
phi[160] = -0.381396
phi[161] = -0.346439
phi[162] = -0.311229
phi[163] = -0.275760
phi[164] = -0.240027
phi[165] = -0.204025
phi[166] = -0.167748
phi[167] = -0.131189
phi[168] = -0.094341
phi[169] = -0.057198
phi[170] = -0.019750
phi[171] = 0.018010
phi[172] = 0.056092
phi[173] = 0.094506
phi[174] = 0.133262
phi[175] = 0.172373
phi[176] = 0.211850
phi[177] = 0.251709
phi[178] = 0.291964
phi[179] = 0.332632
phi[180] = 0.373731
phi[181] = 0.415283
phi[182] = 0.457310
phi[183] = 0.499838
phi[184] = 0.542895
phi[185] = 0.586515
phi[186] = 0.630735
phi[187] = 0.675599
phi[188] = 0.721157
phi[189] = 0.767470
